ans,circle_rgb,bg_rgb
0,"[0.07530879635765675, 0.06959771664320051, 0.024211691133020373]","[0.5426145824560871, 0.5426145824560871, 0.5426145824560871]"
2,"[0.24349620802446426, 0.20136302781681106, 0.17662840570830565]","[0.3874881868480541, 0.3874881868480541, 0.3874881868480541]"
1,"[0.2951331806311013, 0.25604490190329954, 0.23538148173773854]","[0.5596022448592729, 0.5596022448592729, 0.5596022448592729]"
0,"[0.286552886043129, 0.277950500891534, 0.19498067092450033]","[0.8492685737730412, 0.8492685737730412, 0.8492685737730412]"
1,"[0.03746179380518877, 0.026690258045507, 0.022561055578667288]","[0.9838670343709565, 0.9838670343709565, 0.9838670343709565]"
2,"[0.03746179380518877, 0.026690258045507, 0.022561055578667288]","[0.9838670343709565, 0.9838670343709565, 0.9838670343709565]"
0,"[0.8553863210526663, 0.7500521102757315, 0.6793687765123744]","[0.7077507721285419, 0.7077507721285419, 0.7077507721285419]"
1,"[0.1839486313194413, 0.1842329453417565, 0.12875244675296893]","[0.364475848029878, 0.364475848029878, 0.364475848029878]"
2,"[0.6806137856090575, 0.5268098739112692, 0.10311495837995162]","[0.8818764312651515, 0.8818764312651515, 0.8818764312651515]"
0,"[0.057613737979735236, 0.05635700840078784, 0.03359804302947527]","[0.28349391724031314, 0.28349391724031314, 0.28349391724031314]"
1,"[0.375668293554822, 0.3664989655945504, 0.35859373838076686]","[0.448046667542113, 0.448046667542113, 0.448046667542113]"
2,"[0.9086397155736708, 0.7384368417135331, 0.5254329654567609]","[0.12550673024647674, 0.12550673024647674, 0.12550673024647674]"
0,"[0.655637061019106, 0.6889610476759366, 0.12517676459200394]","[0.6969918189113963, 0.6969918189113963, 0.6969918189113963]"
1,"[0.6616317124009315, 0.6281551410975212, 0.4454807842047703]","[0.3552641289077949, 0.3552641289077949, 0.3552641289077949]"
2,"[0.30021535824258205, 0.22412476552914543, 0.1941101132815502]","[0.845798645346251, 0.845798645346251, 0.845798645346251]"
0,"[0.29769025208615274, 0.22111062657584904, 0.19548530370900877]","[0.8116622725050194, 0.8116622725050194, 0.8116622725050194]"
1,"[0.8048883003246672, 0.8026853886509977, 0.547309117479099]","[0.9635796459566095, 0.9635796459566095, 0.9635796459566095]"
2,"[0.6208170280527345, 0.5137161537755001, 0.3939919702372561]","[0.051143101488325016, 0.051143101488325016, 0.051143101488325016]"
0,"[0.7427972052703952, 0.4478957294809283, 0.2483186348882203]","[0.03282075426485276, 0.03282075426485276, 0.03282075426485276]"
1,"[0.6348187383842971, 0.17989597040285255, 0.0005401395045051319]","[0.9583154974897278, 0.9583154974897278, 0.9583154974897278]"
1,"[0.08194176790835139, 0.07733717159614768, 0.06316579052204012]","[0.961339646631345, 0.961339646631345, 0.961339646631345]"
1,"[0.3057194965250133, 0.28159336786868056, 0.24512519635493582]","[0.812318354398295, 0.812318354398295, 0.812318354398295]"
1,"[0.080386929793124, 0.07253559311527819, 0.04645155708424857]","[0.7898273566014199, 0.7898273566014199, 0.7898273566014199]"
1,"[0.6252141568708682, 0.2679195975100941, 0.08764374083025114]","[0.37035380665797635, 0.37035380665797635, 0.37035380665797635]"
1,"[0.6989032289639476, 0.5203151300440233, 0.1884538696166729]","[0.881922101945012, 0.881922101945012, 0.881922101945012]"
1,"[0.792701027505616, 0.71462030225195, 0.48681552946657475]","[0.5739174170745588, 0.5739174170745588, 0.5739174170745588]"
1,"[0.21265065987154774, 0.19796845020145756, 0.1596695947865368]","[0.9568360669352539, 0.9568360669352539, 0.9568360669352539]"
1,"[0.683975718111903, 0.6059155961642755, 0.28428666048042794]","[0.7264614635329848, 0.7264614635329848, 0.7264614635329848]"
1,"[0.13170475724790465, 0.08885803562146881, 0.07373417459300108]","[0.7237665005323647, 0.7237665005323647, 0.7237665005323647]"
1,"[0.5267458458183305, 0.4067858812560975, 0.23329386652642176]","[0.11085670889351129, 0.11085670889351129, 0.11085670889351129]"
1,"[0.10985079029216871, 0.10698631447298901, 0.04773858565770208]","[0.07322056292370971, 0.07322056292370971, 0.07322056292370971]"
1,"[0.05374407979942386, 0.029447359026861287, 0.01656168532383479]","[0.8566022030124647, 0.8566022030124647, 0.8566022030124647]"
1,"[0.26322121528628706, 0.2542604182384995, 0.17402628924024072]","[0.15006430766352652, 0.15006430766352652, 0.15006430766352652]"
1,"[0.945679075288212, 0.9107785700976244, 0.7446165837064793]","[0.9773157046365761, 0.9773157046365761, 0.9773157046365761]"
1,"[0.29307551286490174, 0.27718631222348505, 0.18974143060153165]","[0.05314516705291883, 0.05314516705291883, 0.05314516705291883]"
1,"[0.1759892676703, 0.15299185222470726, 0.0014134665171976345]","[0.7808363658184437, 0.7808363658184437, 0.7808363658184437]"
1,"[0.815155636372676, 0.6458165169913619, 0.5301702941580246]","[0.341273422956343, 0.341273422956343, 0.341273422956343]"
1,"[0.41892142114673936, 0.3884006232641531, 0.2857890880007288]","[0.5789118722052744, 0.5789118722052744, 0.5789118722052744]"
1,"[0.6231388916291217, 0.4807246200811445, 0.39718087533178476]","[0.6759911431157507, 0.6759911431157507, 0.6759911431157507]"
1,"[0.03132161711574655, 0.021065140340862588, 0.0024088472650089857]","[0.2183796728116374, 0.2183796728116374, 0.2183796728116374]"
1,"[0.7354202895691568, 0.730004812990617, 0.6867807623922163]","[0.91997188614657, 0.91997188614657, 0.91997188614657]"
1,"[0.6492248177591095, 0.6214903071850673, 0.4844266501131377]","[0.7933558052636122, 0.7933558052636122, 0.7933558052636122]"
1,"[0.2053751724380064, 0.06927333508627875, 8.718678526234731e-05]","[0.816574984621388, 0.816574984621388, 0.816574984621388]"
1,"[0.6943301918110276, 0.6346562273740411, 0.32262401263571877]","[0.8767117031312631, 0.8767117031312631, 0.8767117031312631]"
1,"[0.039120817976605715, 0.02183045877980742, 0.009648764251220344]","[0.708816004215278, 0.708816004215278, 0.708816004215278]"
1,"[0.5454578177592713, 0.2592326401258076, 0.12033274305989985]","[0.5466808264399133, 0.5466808264399133, 0.5466808264399133]"
1,"[0.8613571395380385, 0.8067460535435271, 0.48788999753095597]","[0.0014538055322862453, 0.0014538055322862453, 0.0014538055322862453]"
1,"[0.9115035459592149, 0.6989087025828009, 0.6025999509603636]","[0.32497104750283545, 0.32497104750283545, 0.32497104750283545]"
1,"[0.8341018625554317, 0.46677483072850157, 0.2521102280586376]","[0.059905654400449926, 0.059905654400449926, 0.059905654400449926]"
1,"[0.1847102567389074, 0.18219646509088916, 0.17933196000502138]","[0.2447809409841929, 0.2447809409841929, 0.2447809409841929]"
1,"[0.8960116312096927, 0.8787009879322726, 0.11199016171488685]","[0.40279996552540676, 0.40279996552540676, 0.40279996552540676]"
1,"[0.9800003917648376, 0.8771047074893157, 0.6968971247565129]","[0.18300929609439598, 0.18300929609439598, 0.18300929609439598]"
1,"[0.3007055257354383, 0.2902515359440299, 0.020265636664464313]","[0.5694961945730113, 0.5694961945730113, 0.5694961945730113]"
1,"[0.6575573381602715, 0.46430747098271236, 0.1391129672895407]","[0.5487048814724945, 0.5487048814724945, 0.5487048814724945]"
1,"[0.8429033070036744, 0.4615983593903105, 0.2527573317451743]","[0.8842743804568051, 0.8842743804568051, 0.8842743804568051]"
1,"[0.8233573810062871, 0.7099646115792457, 0.4414308284133103]","[0.036690806385311525, 0.036690806385311525, 0.036690806385311525]"
1,"[0.8375492962232355, 0.6717273147868862, 0.29055969335114185]","[0.7183226702458136, 0.7183226702458136, 0.7183226702458136]"
1,"[0.09001113363494584, 0.06057112917833588, 0.03588509379913108]","[0.6934429002999826, 0.6934429002999826, 0.6934429002999826]"
1,"[0.7840302583625536, 0.6540635226874548, 0.08492582113990407]","[0.13642238045301835, 0.13642238045301835, 0.13642238045301835]"
1,"[0.9203653803139752, 0.9323858066993818, 0.4934745712798409]","[0.26747462393355337, 0.26747462393355337, 0.26747462393355337]"
1,"[0.5746774803561422, 0.5873663790184772, 0.2563888800508714]","[0.11079058048973645, 0.11079058048973645, 0.11079058048973645]"
1,"[0.7776357532084137, 0.736507432433212, 0.5531938286075289]","[0.5195101999018155, 0.5195101999018155, 0.5195101999018155]"
1,"[0.7729788695526927, 0.3200103905113502, 0.05067299926798203]","[0.09007656541091347, 0.09007656541091347, 0.09007656541091347]"
1,"[0.048502421970540666, 0.02855096451156513, 0.0018825712774388841]","[0.5837832979002655, 0.5837832979002655, 0.5837832979002655]"
1,"[0.3691326081016211, 0.3244231315791088, 0.09432431009055779]","[0.2675275318765685, 0.2675275318765685, 0.2675275318765685]"
1,"[0.7938103086715899, 0.6677130458026865, 0.08819552561126133]","[0.7863427634290502, 0.7863427634290502, 0.7863427634290502]"
1,"[0.6180671532754882, 0.5894088661247793, 0.5460128405982358]","[0.7772321416791718, 0.7772321416791718, 0.7772321416791718]"
1,"[0.22399961633279375, 0.2156078471962813, 0.19503631786582099]","[0.4089694636102469, 0.4089694636102469, 0.4089694636102469]"
1,"[0.8938865838724247, 0.8895997772587555, 0.8515886476306261]","[0.4638323797443522, 0.4638323797443522, 0.4638323797443522]"
1,"[0.4593044477088285, 0.29378775692973175, 0.0863458335776123]","[0.03754890273467215, 0.03754890273467215, 0.03754890273467215]"
